2260.0 	| Adrs:	efc 	   	  | WRITE	| wr_data:	134
2270.0 	| Adrs:	efc 	   	  | WRITE	| wr_data:	134
2280.0 	| Adrs:	efc 	   	  | WRITE	| wr_data:	134
2290.0 	| Adrs:	efc 	   	  | WRITE	| wr_data:	134
2300.0 	| Adrs:	ef8 	   	  | WRITE	| wr_data:	0
2310.0 	| Adrs:	ef8 	   	  | WRITE	| wr_data:	0
2320.0 	| Adrs:	ef8 	   	  | WRITE	| wr_data:	0
2330.0 	| Adrs:	ef8 	   	  | WRITE	| wr_data:	0
2420.0 	| Adrs:	ef0 	   	  | WRITE	| wr_data:	5
2430.0 	| Adrs:	ef0 	   	  | WRITE	| wr_data:	5
2440.0 	| Adrs:	ef0 	   	  | WRITE	| wr_data:	5
2450.0 	| Adrs:	ef0 	   	  | WRITE	| wr_data:	5
2500.0 	| Adrs:	eec 	   	  | WRITE	| wr_data:	3
2510.0 	| Adrs:	eec 	   	  | WRITE	| wr_data:	3
2520.0 	| Adrs:	eec 	   	  | WRITE	| wr_data:	3
2530.0 	| Adrs:	eec 	   	  | WRITE	| wr_data:	3
2540.0 	| Adrs:	eec 	   	  | READ	| rd_data:	3
2550.0 	| Adrs:	eec 	   	  | READ	| rd_data:	3
2560.0 	| Adrs:	eec 	   	  | READ	| rd_data:	3
2570.0 	| Adrs:	eec 	   	  | READ	| rd_data:	3
2580.0 	| Adrs:	ef0 	   	  | READ	| rd_data:	5
2590.0 	| Adrs:	ef0 	   	  | READ	| rd_data:	5
2600.0 	| Adrs:	ef0 	   	  | READ	| rd_data:	5
2610.0 	| Adrs:	ef0 	   	  | READ	| rd_data:	5
