-------------------------------------------------
Time	| Thread | Register Num	| Wr Data	|
-------------------------------------------------
1400.0 	|	00 	|	x 1 		|         0 	| 
1440.0 	|	00 	|	x 2 		|         0 	| 
1480.0 	|	00 	|	x 3 		|         0 	| 
1520.0 	|	00 	|	x 4 		|         0 	| 
1560.0 	|	00 	|	x 5 		|         0 	| 
1600.0 	|	00 	|	x 6 		|         0 	| 
1640.0 	|	00 	|	x 7 		|         0 	| 
1680.0 	|	00 	|	x 8 		|         0 	| 
1720.0 	|	00 	|	x 9 		|         0 	| 
1760.0 	|	00 	|	x10 		|         0 	| 
1800.0 	|	00 	|	x11 		|         0 	| 
1840.0 	|	00 	|	x12 		|         0 	| 
1880.0 	|	00 	|	x13 		|         0 	| 
1920.0 	|	00 	|	x14 		|         0 	| 
1960.0 	|	00 	|	x15 		|         0 	| 
2000.0 	|	00 	|	x 2 		|   4199156 	| 
2040.0 	|	00 	|	x 2 		|   4198144 	| 
2080.0 	|	00 	|	x10 		|         0 	| 
2120.0 	|	00 	|	x11 		|         0 	| 
2160.0 	|	00 	|	x 1 		|       776 	| 
2200.0 	|	00 	|	x 2 		|   4198096 	| 
2320.0 	|	00 	|	x 8 		|   4198144 	| 
2360.0 	|	00 	|	x15 		|         6 	| 
2440.0 	|	00 	|	x15 		|         1 	| 
2560.0 	|	00 	|	x15 		|         3 	| 
2640.0 	|	00 	|	x15 		|         5 	| 
2720.0 	|	00 	|	x15 		|         9 	| 
2800.0 	|	00 	|	x15 		|        50 	| 
2880.0 	|	00 	|	x15 		|         2 	| 
2960.0 	|	00 	|	x15 		|   4198096 	| 
3000.0 	|	00 	|	x11 		|         8 	| 
3040.0 	|	00 	|	x10 		|   4198096 	| 
3080.0 	|	00 	|	x 1 		|       528 	| 
3120.0 	|	00 	|	x 2 		|   4198048 	| 
3240.0 	|	00 	|	x 8 		|   4198096 	| 
3440.0 	|	00 	|	x15 		|         8 	| 
3480.0 	|	00 	|	x15 		|         7 	| 
3520.0 	|	00 	|	x14 		|         0 	| 
3680.0 	|	00 	|	x14 		|         8 	| 
3720.0 	|	00 	|	x15 		|         0 	| 
3760.0 	|	00 	|	x15 		|         8 	| 
3800.0 	|	00 	|	x15 		|         7 	| 
3840.0 	|	00 	|	x14 		|         0 	| 
3920.0 	|	00 	|	x15 		|         0 	| 
3960.0 	|	00 	|	x15 		|         0 	| 
4000.0 	|	00 	|	x14 		|   4198096 	| 
4040.0 	|	00 	|	x15 		|   4198096 	| 
4080.0 	|	00 	|	x14 		|         6 	| 
4120.0 	|	00 	|	x15 		|         0 	| 
4160.0 	|	00 	|	x15 		|         1 	| 
4200.0 	|	00 	|	x15 		|         4 	| 
4240.0 	|	00 	|	x13 		|   4198096 	| 
4280.0 	|	00 	|	x15 		|   4198100 	| 
4320.0 	|	00 	|	x15 		|         1 	| 
